#    L    TT             EE             BB             TE             PP             TP             EP          
   190   0.482621E+04   0.112498E+01   0.000000E+00   0.238374E+02   0.268446E-07   0.414505E-03   0.167790E-06
   191   0.482435E+04   0.117152E+01   0.000000E+00   0.255634E+02   0.267114E-07   0.410587E-03   0.180766E-06
   192   0.482176E+04   0.122076E+01   0.000000E+00   0.272954E+02   0.265792E-07   0.406715E-03   0.193937E-06
   193   0.481844E+04   0.127279E+01   0.000000E+00   0.290321E+02   0.264481E-07   0.402889E-03   0.207305E-06
   194   0.481440E+04   0.132766E+01   0.000000E+00   0.307724E+02   0.263179E-07   0.399107E-03   0.220871E-06
   195   0.480964E+04   0.138544E+01   0.000000E+00   0.325149E+02   0.261887E-07   0.395369E-03   0.234638E-06
   196   0.480414E+04   0.144622E+01   0.000000E+00   0.342584E+02   0.260605E-07   0.391674E-03   0.248606E-06
   197   0.479794E+04   0.151006E+01   0.000000E+00   0.360017E+02   0.259333E-07   0.388022E-03   0.262778E-06
   198   0.479102E+04   0.157702E+01   0.000000E+00   0.377435E+02   0.258071E-07   0.384410E-03   0.277155E-06
   199   0.478338E+04   0.164719E+01   0.000000E+00   0.394825E+02   0.256817E-07   0.380840E-03   0.291737E-06
   200   0.477502E+04   0.172063E+01   0.000000E+00   0.412174E+02   0.255574E-07   0.377309E-03   0.306528E-06
   201   0.476596E+04   0.179740E+01   0.000000E+00   0.429471E+02   0.254339E-07   0.373817E-03   0.321527E-06
   202   0.475618E+04   0.187750E+01   0.000000E+00   0.446705E+02   0.253114E-07   0.370363E-03   0.336726E-06
   203   0.474568E+04   0.196091E+01   0.000000E+00   0.463873E+02   0.251897E-07   0.366948E-03   0.352117E-06
   204   0.473447E+04   0.204761E+01   0.000000E+00   0.480965E+02   0.250690E-07   0.363571E-03   0.367691E-06
   205   0.472254E+04   0.213760E+01   0.000000E+00   0.497974E+02   0.249491E-07   0.360231E-03   0.383439E-06
   206   0.470992E+04   0.223085E+01   0.000000E+00   0.514893E+02   0.248302E-07   0.356928E-03   0.399352E-06
   207   0.469658E+04   0.232734E+01   0.000000E+00   0.531715E+02   0.247121E-07   0.353662E-03   0.415422E-06
   208   0.468255E+04   0.242707E+01   0.000000E+00   0.548430E+02   0.245949E-07   0.350432E-03   0.431639E-06
   209   0.466785E+04   0.253001E+01   0.000000E+00   0.565032E+02   0.244786E-07   0.347237E-03   0.447994E-06
   210   0.465249E+04   0.263615E+01   0.000000E+00   0.581509E+02   0.243631E-07   0.344079E-03   0.464480E-06
   211   0.463649E+04   0.274548E+01   0.000000E+00   0.597856E+02   0.242484E-07   0.340955E-03   0.481086E-06
   212   0.461987E+04   0.285796E+01   0.000000E+00   0.614061E+02   0.241346E-07   0.337867E-03   0.497804E-06
   213   0.460265E+04   0.297360E+01   0.000000E+00   0.630117E+02   0.240216E-07   0.334812E-03   0.514626E-06
   214   0.458484E+04   0.309238E+01   0.000000E+00   0.646015E+02   0.239095E-07   0.331792E-03   0.531542E-06
   215   0.456646E+04   0.321426E+01   0.000000E+00   0.661746E+02   0.237982E-07   0.328806E-03   0.548543E-06
   216   0.454749E+04   0.333925E+01   0.000000E+00   0.677301E+02   0.236877E-07   0.325852E-03   0.565621E-06
   217   0.452796E+04   0.346732E+01   0.000000E+00   0.692671E+02   0.235779E-07   0.322931E-03   0.582767E-06
   218   0.450788E+04   0.359845E+01   0.000000E+00   0.707847E+02   0.234690E-07   0.320043E-03   0.599973E-06
   219   0.448725E+04   0.373263E+01   0.000000E+00   0.722820E+02   0.233609E-07   0.317188E-03   0.617228E-06
   220   0.446607E+04   0.386983E+01   0.000000E+00   0.737581E+02   0.232535E-07   0.314363E-03   0.634524E-06
   221   0.444437E+04   0.401004E+01   0.000000E+00   0.752119E+02   0.231470E-07   0.311571E-03   0.651853E-06
   222   0.442213E+04   0.415324E+01   0.000000E+00   0.766428E+02   0.230411E-07   0.308809E-03   0.669205E-06
   223   0.439938E+04   0.429940E+01   0.000000E+00   0.780495E+02   0.229361E-07   0.306078E-03   0.686573E-06
   224   0.437615E+04   0.444852E+01   0.000000E+00   0.794313E+02   0.228318E-07   0.303377E-03   0.703946E-06
   225   0.435243E+04   0.460055E+01   0.000000E+00   0.807869E+02   0.227282E-07   0.300706E-03   0.721316E-06
   226   0.432824E+04   0.475549E+01   0.000000E+00   0.821157E+02   0.226254E-07   0.298064E-03   0.738675E-06
   227   0.430359E+04   0.491332E+01   0.000000E+00   0.834165E+02   0.225233E-07   0.295451E-03   0.756013E-06
   228   0.427850E+04   0.507400E+01   0.000000E+00   0.846883E+02   0.224219E-07   0.292868E-03   0.773321E-06
   229   0.425298E+04   0.523753E+01   0.000000E+00   0.859302E+02   0.223212E-07   0.290312E-03   0.790592E-06
   230   0.422704E+04   0.540387E+01   0.000000E+00   0.871411E+02   0.222213E-07   0.287785E-03   0.807815E-06
   231   0.420069E+04   0.557299E+01   0.000000E+00   0.883201E+02   0.221220E-07   0.285285E-03   0.824982E-06
