#    L    TT             EE             BB             TE          
   261   0.400470E+04   0.774364E+01   0.864147E-02   0.115035E+03
   262   0.396501E+04   0.792158E+01   0.868937E-02   0.115478E+03
   263   0.392523E+04   0.810083E+01   0.873696E-02   0.115876E+03
   264   0.388537E+04   0.828132E+01   0.878426E-02   0.116228E+03
   265   0.384543E+04   0.846294E+01   0.883126E-02   0.116536E+03
   266   0.380543E+04   0.864563E+01   0.887797E-02   0.116798E+03
   267   0.376540E+04   0.882928E+01   0.892439E-02   0.117014E+03
   268   0.372533E+04   0.901382E+01   0.897051E-02   0.117185E+03
   269   0.368523E+04   0.919918E+01   0.901635E-02   0.117309E+03
   270   0.364511E+04   0.938524E+01   0.906191E-02   0.117389E+03
   271   0.360501E+04   0.957193E+01   0.910719E-02   0.117423E+03
   272   0.356492E+04   0.975916E+01   0.915220E-02   0.117411E+03
   273   0.352487E+04   0.994683E+01   0.919693E-02   0.117353E+03
   274   0.348487E+04   0.101348E+02   0.924141E-02   0.117251E+03
   275   0.344493E+04   0.103231E+02   0.928562E-02   0.117102E+03
   276   0.340508E+04   0.105115E+02   0.932958E-02   0.116909E+03
   277   0.336533E+04   0.107000E+02   0.937330E-02   0.116671E+03
   278   0.332569E+04   0.108885E+02   0.941677E-02   0.116386E+03
   279   0.328618E+04   0.110768E+02   0.946001E-02   0.116057E+03
   280   0.324682E+04   0.112649E+02   0.950302E-02   0.115683E+03
   281   0.320761E+04   0.114526E+02   0.954581E-02   0.115265E+03
   282   0.316859E+04   0.116399E+02   0.958839E-02   0.114802E+03
   283   0.312976E+04   0.118267E+02   0.963075E-02   0.114294E+03
   284   0.309113E+04   0.120127E+02   0.967292E-02   0.113741E+03
   285   0.305273E+04   0.121981E+02   0.971489E-02   0.113144E+03
   286   0.301457E+04   0.123825E+02   0.975667E-02   0.112504E+03
   287   0.297666E+04   0.125660E+02   0.979827E-02   0.111820E+03
   288   0.293903E+04   0.127483E+02   0.983970E-02   0.111091E+03
