#    L    TT             EE             BB             TE             PP             TP             EP          
   194   0.519700E+04   0.839264E+00   0.000000E+00  -0.409189E+02   0.689136E-07   0.946723E-04  -0.581874E-06
   195   0.522059E+04   0.829670E+00   0.000000E+00  -0.404452E+02   0.685490E-07   0.940781E-04  -0.576924E-06
   196   0.524385E+04   0.819975E+00   0.000000E+00  -0.399504E+02   0.681872E-07   0.934878E-04  -0.571736E-06
   197   0.526679E+04   0.810193E+00   0.000000E+00  -0.394345E+02   0.678284E-07   0.929015E-04  -0.566304E-06
   198   0.528942E+04   0.800336E+00   0.000000E+00  -0.388977E+02   0.674725E-07   0.923197E-04  -0.560621E-06
   199   0.531170E+04   0.790417E+00   0.000000E+00  -0.383399E+02   0.671194E-07   0.917423E-04  -0.554680E-06
   200   0.533366E+04   0.780446E+00   0.000000E+00  -0.377613E+02   0.667691E-07   0.911698E-04  -0.548473E-06
   201   0.535527E+04   0.770442E+00   0.000000E+00  -0.371619E+02   0.664215E-07   0.906023E-04  -0.541997E-06
   202   0.537654E+04   0.760427E+00   0.000000E+00  -0.365419E+02   0.660768E-07   0.900397E-04  -0.535257E-06
   203   0.539743E+04   0.750431E+00   0.000000E+00  -0.359010E+02   0.657347E-07   0.894820E-04  -0.528258E-06
   204   0.541794E+04   0.740480E+00   0.000000E+00  -0.352394E+02   0.653954E-07   0.889291E-04  -0.521008E-06
   205   0.543805E+04   0.730603E+00   0.000000E+00  -0.345572E+02   0.650587E-07   0.883809E-04  -0.513514E-06
   206   0.545775E+04   0.720825E+00   0.000000E+00  -0.338542E+02   0.647247E-07   0.878372E-04  -0.505783E-06
   207   0.547703E+04   0.711175E+00   0.000000E+00  -0.331304E+02   0.643934E-07   0.872981E-04  -0.497823E-06
   208   0.549587E+04   0.701681E+00   0.000000E+00  -0.323860E+02   0.640646E-07   0.867634E-04  -0.489639E-06
   209   0.551430E+04   0.692370E+00   0.000000E+00  -0.316212E+02   0.637385E-07   0.862331E-04  -0.481239E-06
   210   0.553230E+04   0.683269E+00   0.000000E+00  -0.308361E+02   0.634149E-07   0.857070E-04  -0.472631E-06
   211   0.554988E+04   0.674407E+00   0.000000E+00  -0.300308E+02   0.630939E-07   0.851851E-04  -0.463820E-06
   212   0.556704E+04   0.665809E+00   0.000000E+00  -0.292054E+02   0.627754E-07   0.846673E-04  -0.454815E-06
   213   0.558378E+04   0.657505E+00   0.000000E+00  -0.283602E+02   0.624595E-07   0.841535E-04  -0.445621E-06
   214   0.560010E+04   0.649522E+00   0.000000E+00  -0.274952E+02   0.621460E-07   0.836436E-04  -0.436246E-06
   215   0.561601E+04   0.641881E+00   0.000000E+00  -0.266106E+02   0.618350E-07   0.831376E-04  -0.426697E-06
   216   0.563147E+04   0.634618E+00   0.000000E+00  -0.257066E+02   0.615264E-07   0.826353E-04  -0.416981E-06
   217   0.564649E+04   0.627753E+00   0.000000E+00  -0.247834E+02   0.612202E-07   0.821366E-04  -0.407105E-06
   218   0.566107E+04   0.621307E+00   0.000000E+00  -0.238411E+02   0.609165E-07   0.816415E-04  -0.397076E-06
   219   0.567518E+04   0.615316E+00   0.000000E+00  -0.228800E+02   0.606151E-07   0.811500E-04  -0.386901E-06
   220   0.568882E+04   0.609799E+00   0.000000E+00  -0.219001E+02   0.603161E-07   0.806618E-04  -0.376587E-06
   221   0.570200E+04   0.604778E+00   0.000000E+00  -0.209018E+02   0.600194E-07   0.801769E-04  -0.366140E-06
   222   0.571469E+04   0.600288E+00   0.000000E+00  -0.198851E+02   0.597251E-07   0.796953E-04  -0.355568E-06
   223   0.572689E+04   0.596342E+00   0.000000E+00  -0.188505E+02   0.594330E-07   0.792168E-04  -0.344878E-06
   224   0.573861E+04   0.592967E+00   0.000000E+00  -0.177980E+02   0.591432E-07   0.787413E-04  -0.334077E-06
   225   0.574985E+04   0.590178E+00   0.000000E+00  -0.167280E+02   0.588557E-07   0.782689E-04  -0.323171E-06
   226   0.576060E+04   0.588009E+00   0.000000E+00  -0.156407E+02   0.585703E-07   0.777993E-04  -0.312168E-06
   227   0.577085E+04   0.586481E+00   0.000000E+00  -0.145363E+02   0.582872E-07   0.773325E-04  -0.301075E-06
   228   0.578060E+04   0.585607E+00   0.000000E+00  -0.134152E+02   0.580063E-07   0.768685E-04  -0.289898E-06
   229   0.578986E+04   0.585416E+00   0.000000E+00  -0.122775E+02   0.577275E-07   0.764070E-04  -0.278645E-06
