#    L    TT             EE             BB             TE             PP             TP             EP          
   209   0.558447E+04   0.140278E+01   0.000000E+00   0.428539E+02   0.209134E-07   0.309394E-03   0.214123E-06
   210   0.556900E+04   0.146328E+01   0.000000E+00   0.447397E+02   0.208064E-07   0.306516E-03   0.229054E-06
   211   0.555275E+04   0.152621E+01   0.000000E+00   0.466228E+02   0.207003E-07   0.303670E-03   0.244013E-06
   212   0.553575E+04   0.159158E+01   0.000000E+00   0.485022E+02   0.205952E-07   0.300857E-03   0.258996E-06
   213   0.551800E+04   0.165940E+01   0.000000E+00   0.503772E+02   0.204909E-07   0.298076E-03   0.274000E-06
   214   0.549953E+04   0.172967E+01   0.000000E+00   0.522466E+02   0.203875E-07   0.295327E-03   0.289022E-06
   215   0.548034E+04   0.180238E+01   0.000000E+00   0.541097E+02   0.202850E-07   0.292609E-03   0.304058E-06
   216   0.546043E+04   0.187756E+01   0.000000E+00   0.559654E+02   0.201834E-07   0.289922E-03   0.319106E-06
   217   0.543982E+04   0.195520E+01   0.000000E+00   0.578127E+02   0.200827E-07   0.287266E-03   0.334163E-06
   218   0.541851E+04   0.203529E+01   0.000000E+00   0.596508E+02   0.199828E-07   0.284640E-03   0.349224E-06
   219   0.539650E+04   0.211784E+01   0.000000E+00   0.614786E+02   0.198837E-07   0.282043E-03   0.364287E-06
   220   0.537380E+04   0.220286E+01   0.000000E+00   0.632953E+02   0.197855E-07   0.279477E-03   0.379348E-06
   221   0.535044E+04   0.229035E+01   0.000000E+00   0.650997E+02   0.196881E-07   0.276939E-03   0.394404E-06
   222   0.532639E+04   0.238030E+01   0.000000E+00   0.668909E+02   0.195915E-07   0.274430E-03   0.409453E-06
   223   0.530169E+04   0.247272E+01   0.000000E+00   0.686679E+02   0.194957E-07   0.271950E-03   0.424490E-06
   224   0.527635E+04   0.256761E+01   0.000000E+00   0.704297E+02   0.194007E-07   0.269497E-03   0.439513E-06
   225   0.525038E+04   0.266495E+01   0.000000E+00   0.721751E+02   0.193065E-07   0.267073E-03   0.454517E-06
   226   0.522378E+04   0.276476E+01   0.000000E+00   0.739033E+02   0.192131E-07   0.264675E-03   0.469501E-06
   227   0.519658E+04   0.286704E+01   0.000000E+00   0.756131E+02   0.191205E-07   0.262304E-03   0.484461E-06
   228   0.516878E+04   0.297177E+01   0.000000E+00   0.773036E+02   0.190286E-07   0.259960E-03   0.499393E-06
   229   0.514040E+04   0.307896E+01   0.000000E+00   0.789736E+02   0.189375E-07   0.257643E-03   0.514295E-06
   230   0.511145E+04   0.318861E+01   0.000000E+00   0.806221E+02   0.188471E-07   0.255351E-03   0.529162E-06
   231   0.508194E+04   0.330070E+01   0.000000E+00   0.822480E+02   0.187575E-07   0.253084E-03   0.543992E-06
