#    L    TT             EE             BB             TE          
   253   0.354726E+04   0.994646E+01   0.120533E-01   0.103777E+03
   254   0.351587E+04   0.101702E+02   0.121209E-01   0.103937E+03
   255   0.348441E+04   0.103956E+02   0.121880E-01   0.104046E+03
   256   0.345290E+04   0.106225E+02   0.122547E-01   0.104103E+03
   257   0.342135E+04   0.108510E+02   0.123209E-01   0.104108E+03
   258   0.338977E+04   0.110809E+02   0.123867E-01   0.104062E+03
   259   0.335817E+04   0.113120E+02   0.124521E-01   0.103966E+03
   260   0.332659E+04   0.115442E+02   0.125171E-01   0.103819E+03
   261   0.329502E+04   0.117776E+02   0.125816E-01   0.103623E+03
   262   0.326349E+04   0.120118E+02   0.126456E-01   0.103376E+03
   263   0.323201E+04   0.122469E+02   0.127093E-01   0.103081E+03
   264   0.320060E+04   0.124827E+02   0.127725E-01   0.102736E+03
   265   0.316924E+04   0.127191E+02   0.128353E-01   0.102344E+03
   266   0.313796E+04   0.129560E+02   0.128977E-01   0.101903E+03
   267   0.310677E+04   0.131933E+02   0.129597E-01   0.101413E+03
   268   0.307568E+04   0.134308E+02   0.130213E-01   0.100876E+03
   269   0.304469E+04   0.136684E+02   0.130826E-01   0.100291E+03
   270   0.301380E+04   0.139060E+02   0.131434E-01   0.996599E+02
   271   0.298305E+04   0.141434E+02   0.132039E-01   0.989810E+02
   272   0.295243E+04   0.143807E+02   0.132640E-01   0.982562E+02
   273   0.292198E+04   0.146175E+02   0.133238E-01   0.974850E+02
   274   0.289168E+04   0.148539E+02   0.133832E-01   0.966692E+02
   275   0.286156E+04   0.150896E+02   0.134424E-01   0.958075E+02
   276   0.283164E+04   0.153245E+02   0.135012E-01   0.949016E+02
   277   0.280193E+04   0.155586E+02   0.135597E-01   0.939512E+02
   278   0.277243E+04   0.157917E+02   0.136179E-01   0.929563E+02
   279   0.274317E+04   0.160235E+02   0.136759E-01   0.919188E+02
   280   0.271416E+04   0.162541E+02   0.137336E-01   0.908382E+02
   281   0.268540E+04   0.164833E+02   0.137910E-01   0.897155E+02
   282   0.265692E+04   0.167108E+02   0.138482E-01   0.885508E+02
   283   0.262873E+04   0.169367E+02   0.139052E-01   0.873445E+02
   284   0.260084E+04   0.171607E+02   0.139619E-01   0.860969E+02
   285   0.257325E+04   0.173827E+02   0.140185E-01   0.848088E+02
   286   0.254599E+04   0.176026E+02   0.140749E-01   0.834814E+02
   287   0.251908E+04   0.178203E+02   0.141311E-01   0.821148E+02
   288   0.249252E+04   0.180354E+02   0.141871E-01   0.807085E+02
   289   0.246632E+04   0.182481E+02   0.142430E-01   0.792651E+02
   290   0.244050E+04   0.184580E+02   0.142988E-01   0.777833E+02
   291   0.241509E+04   0.186650E+02   0.143544E-01   0.762648E+02
   292   0.239008E+04   0.188690E+02   0.144099E-01   0.747100E+02
   293   0.236548E+04   0.190699E+02   0.144653E-01   0.731197E+02
   294   0.234132E+04   0.192674E+02   0.145206E-01   0.714935E+02
   295   0.231761E+04   0.194614E+02   0.145758E-01   0.698331E+02
   296   0.229435E+04   0.196518E+02   0.146310E-01   0.681388E+02
   297   0.227155E+04   0.198383E+02   0.146861E-01   0.664100E+02
   298   0.224924E+04   0.200209E+02   0.147412E-01   0.646486E+02
