#    L    TT             EE             BB             TE          
   265   0.576782E+04   0.120324E+01   0.208229E-01   0.369101E+02
   266   0.575820E+04   0.124028E+01   0.209878E-01   0.383906E+02
   267   0.574811E+04   0.127876E+01   0.211528E-01   0.398702E+02
   268   0.573754E+04   0.131871E+01   0.213180E-01   0.413497E+02
   269   0.572649E+04   0.136015E+01   0.214833E-01   0.428269E+02
   270   0.571496E+04   0.140309E+01   0.216486E-01   0.443028E+02
   271   0.570296E+04   0.144755E+01   0.218140E-01   0.457752E+02
   272   0.569049E+04   0.149357E+01   0.219795E-01   0.472448E+02
   273   0.567756E+04   0.154112E+01   0.221451E-01   0.487104E+02
   274   0.566416E+04   0.159025E+01   0.223106E-01   0.501728E+02
   275   0.565030E+04   0.164096E+01   0.224762E-01   0.516298E+02
   276   0.563600E+04   0.169326E+01   0.226418E-01   0.530824E+02
   277   0.562125E+04   0.174717E+01   0.228074E-01   0.545289E+02
   278   0.560606E+04   0.180270E+01   0.229729E-01   0.559690E+02
   279   0.559042E+04   0.185984E+01   0.231385E-01   0.574033E+02
   280   0.557435E+04   0.191860E+01   0.233040E-01   0.588306E+02
   281   0.555785E+04   0.197900E+01   0.234694E-01   0.602508E+02
   282   0.554092E+04   0.204101E+01   0.236347E-01   0.616634E+02
   283   0.552357E+04   0.210467E+01   0.238000E-01   0.630677E+02
   284   0.550580E+04   0.216996E+01   0.239652E-01   0.644630E+02
   285   0.548761E+04   0.223689E+01   0.241303E-01   0.658495E+02
   286   0.546901E+04   0.230545E+01   0.242952E-01   0.672273E+02
   287   0.545001E+04   0.237563E+01   0.244600E-01   0.685957E+02
   288   0.543061E+04   0.244745E+01   0.246247E-01   0.699533E+02
   289   0.541081E+04   0.252088E+01   0.247892E-01   0.713017E+02
   290   0.539062E+04   0.259592E+01   0.249536E-01   0.726389E+02
   291   0.537004E+04   0.267259E+01   0.251178E-01   0.739655E+02
   292   0.534907E+04   0.275078E+01   0.252818E-01   0.752811E+02
   293   0.532773E+04   0.283061E+01   0.254455E-01   0.765856E+02
   294   0.530601E+04   0.291202E+01   0.256091E-01   0.778777E+02
   295   0.528391E+04   0.299491E+01   0.257724E-01   0.791583E+02
   296   0.526144E+04   0.307939E+01   0.259355E-01   0.804266E+02
   297   0.523859E+04   0.316533E+01   0.260984E-01   0.816814E+02
   298   0.521538E+04   0.325277E+01   0.262609E-01   0.829234E+02
   299   0.519182E+04   0.334166E+01   0.264232E-01   0.841528E+02
   300   0.516790E+04   0.343198E+01   0.265852E-01   0.853689E+02
   301   0.514363E+04   0.352382E+01   0.267468E-01   0.865717E+02
   302   0.511903E+04   0.361702E+01   0.269082E-01   0.877608E+02
   303   0.509409E+04   0.371169E+01   0.270692E-01   0.889358E+02
   304   0.506884E+04   0.380781E+01   0.272298E-01   0.900962E+02
   305   0.504329E+04   0.390535E+01   0.273901E-01   0.912407E+02
   306   0.501743E+04   0.400437E+01   0.275500E-01   0.923689E+02
   307   0.499128E+04   0.410476E+01   0.277095E-01   0.934802E+02
   308   0.496486E+04   0.420657E+01   0.278685E-01   0.945742E+02
   309   0.493816E+04   0.430979E+01   0.280272E-01   0.956505E+02
   310   0.491118E+04   0.441430E+01   0.281854E-01   0.967084E+02
   311   0.488396E+04   0.452023E+01   0.283431E-01   0.977461E+02
   312   0.485648E+04   0.462748E+01   0.285004E-01   0.987646E+02
   313   0.482876E+04   0.473611E+01   0.286572E-01   0.997626E+02
   314   0.480081E+04   0.484600E+01   0.288134E-01   0.100740E+03
   315   0.477263E+04   0.495715E+01   0.289692E-01   0.101695E+03
   316   0.474423E+04   0.506966E+01   0.291244E-01   0.102629E+03
   317   0.471562E+04   0.518337E+01   0.292791E-01   0.103541E+03
   318   0.468682E+04   0.529833E+01   0.294332E-01   0.104430E+03
   319   0.465783E+04   0.541450E+01   0.295868E-01   0.105296E+03
   320   0.462864E+04   0.553195E+01   0.297397E-01   0.106139E+03
   321   0.459929E+04   0.565056E+01   0.298921E-01   0.106958E+03
   322   0.456976E+04   0.577033E+01   0.300439E-01   0.107753E+03
   323   0.454007E+04   0.589121E+01   0.301950E-01   0.108523E+03
   324   0.451023E+04   0.601319E+01   0.303456E-01   0.109268E+03
   325   0.448024E+04   0.613631E+01   0.304955E-01   0.109988E+03
   326   0.445011E+04   0.626055E+01   0.306447E-01   0.110683E+03
   327   0.441985E+04   0.638581E+01   0.307933E-01   0.111352E+03
   328   0.438946E+04   0.651207E+01   0.309412E-01   0.111994E+03
   329   0.435895E+04   0.663937E+01   0.310884E-01   0.112611E+03
   330   0.432834E+04   0.676761E+01   0.312350E-01   0.113201E+03
   331   0.429762E+04   0.689686E+01   0.313809E-01   0.113764E+03
   332   0.426680E+04   0.702707E+01   0.315261E-01   0.114299E+03
   333   0.423589E+04   0.715815E+01   0.316706E-01   0.114808E+03
   334   0.420489E+04   0.729015E+01   0.318143E-01   0.115290E+03
   335   0.417382E+04   0.742297E+01   0.319574E-01   0.115744E+03
   336   0.414267E+04   0.755667E+01   0.320998E-01   0.116171E+03
   337   0.411146E+04   0.769121E+01   0.322415E-01   0.116570E+03
   338   0.408018E+04   0.782656E+01   0.323825E-01   0.116942E+03
   339   0.404885E+04   0.796272E+01   0.325227E-01   0.117287E+03
   340   0.401748E+04   0.809972E+01   0.326623E-01   0.117604E+03
   341   0.398606E+04   0.823739E+01   0.328011E-01   0.117893E+03
   342   0.395460E+04   0.837579E+01   0.329393E-01   0.118153E+03
   343   0.392310E+04   0.851488E+01   0.330767E-01   0.118386E+03
   344   0.389157E+04   0.865457E+01   0.332134E-01   0.118591E+03
   345   0.386000E+04   0.879491E+01   0.333495E-01   0.118767E+03
   346   0.382841E+04   0.893579E+01   0.334848E-01   0.118914E+03
   347   0.379678E+04   0.907728E+01   0.336195E-01   0.119032E+03
   348   0.376514E+04   0.921919E+01   0.337534E-01   0.119121E+03
   349   0.373348E+04   0.936172E+01   0.338867E-01   0.119183E+03
   350   0.370181E+04   0.950478E+01   0.340193E-01   0.119216E+03
   351   0.367014E+04   0.964841E+01   0.341513E-01   0.119222E+03
   352   0.363848E+04   0.979253E+01   0.342826E-01   0.119200E+03
   353   0.360684E+04   0.993706E+01   0.344132E-01   0.119150E+03
   354   0.357522E+04   0.100820E+02   0.345432E-01   0.119074E+03
   355   0.354366E+04   0.102272E+02   0.346726E-01   0.118970E+03
   356   0.351214E+04   0.103726E+02   0.348013E-01   0.118838E+03
   357   0.348068E+04   0.105183E+02   0.349294E-01   0.118678E+03
   358   0.344929E+04   0.106640E+02   0.350568E-01   0.118491E+03
   359   0.341798E+04   0.108096E+02   0.351837E-01   0.118277E+03
   360   0.338675E+04   0.109552E+02   0.353100E-01   0.118035E+03
   361   0.335560E+04   0.111006E+02   0.354356E-01   0.117764E+03
   362   0.332456E+04   0.112457E+02   0.355607E-01   0.117466E+03
   363   0.329363E+04   0.113906E+02   0.356852E-01   0.117140E+03
   364   0.326281E+04   0.115352E+02   0.358091E-01   0.116787E+03
   365   0.323212E+04   0.116793E+02   0.359325E-01   0.116406E+03
   366   0.320157E+04   0.118230E+02   0.360553E-01   0.115999E+03
   367   0.317115E+04   0.119662E+02   0.361776E-01   0.115564E+03
   368   0.314089E+04   0.121088E+02   0.362993E-01   0.115103E+03
   369   0.311077E+04   0.122508E+02   0.364205E-01   0.114616E+03
   370   0.308083E+04   0.123921E+02   0.365412E-01   0.114101E+03
   371   0.305105E+04   0.125328E+02   0.366613E-01   0.113561E+03
   372   0.302146E+04   0.126726E+02   0.367810E-01   0.112994E+03
   373   0.299204E+04   0.128117E+02   0.369001E-01   0.112402E+03
   374   0.296281E+04   0.129499E+02   0.370188E-01   0.111784E+03
   375   0.293378E+04   0.130873E+02   0.371369E-01   0.111140E+03
   376   0.290494E+04   0.132237E+02   0.372546E-01   0.110470E+03
   377   0.287632E+04   0.133591E+02   0.373718E-01   0.109776E+03
   378   0.284790E+04   0.134934E+02   0.374886E-01   0.109056E+03
   379   0.281970E+04   0.136266E+02   0.376049E-01   0.108311E+03
   380   0.279173E+04   0.137586E+02   0.377207E-01   0.107541E+03
   381   0.276399E+04   0.138895E+02   0.378361E-01   0.106746E+03
   382   0.273648E+04   0.140191E+02   0.379511E-01   0.105926E+03
   383   0.270921E+04   0.141474E+02   0.380656E-01   0.105082E+03
   384   0.268219E+04   0.142745E+02   0.381797E-01   0.104214E+03
   385   0.265541E+04   0.144002E+02   0.382934E-01   0.103322E+03
   386   0.262888E+04   0.145246E+02   0.384067E-01   0.102406E+03
   387   0.260261E+04   0.146478E+02   0.385197E-01   0.101467E+03
   388   0.257660E+04   0.147696E+02   0.386322E-01   0.100504E+03
   389   0.255085E+04   0.148902E+02   0.387444E-01   0.995187E+02
   390   0.252537E+04   0.150093E+02   0.388562E-01   0.985103E+02
   391   0.250016E+04   0.151272E+02   0.389676E-01   0.974792E+02
   392   0.247521E+04   0.152436E+02   0.390788E-01   0.964257E+02
   393   0.245054E+04   0.153586E+02   0.391896E-01   0.953500E+02
