#    L    TT             EE             BB             TE             PP             TP             EP          
   162   0.505657E+04   0.678224E+00   0.000000E+00  -0.262154E+02   0.290745E-07   0.521540E-03  -0.321100E-06
   163   0.507646E+04   0.669476E+00   0.000000E+00  -0.251339E+02   0.289077E-07   0.516084E-03  -0.316941E-06
   164   0.509568E+04   0.661284E+00   0.000000E+00  -0.240205E+02   0.287424E-07   0.510700E-03  -0.312568E-06
   165   0.511423E+04   0.653698E+00   0.000000E+00  -0.228755E+02   0.285785E-07   0.505387E-03  -0.307935E-06
   166   0.513210E+04   0.646770E+00   0.000000E+00  -0.216992E+02   0.284159E-07   0.500144E-03  -0.302993E-06
   167   0.514929E+04   0.640552E+00   0.000000E+00  -0.204921E+02   0.282548E-07   0.494971E-03  -0.297696E-06
   168   0.516578E+04   0.635095E+00   0.000000E+00  -0.192546E+02   0.280950E-07   0.489867E-03  -0.291995E-06
   169   0.518157E+04   0.630452E+00   0.000000E+00  -0.179872E+02   0.279367E-07   0.484830E-03  -0.285844E-06
   170   0.519665E+04   0.626665E+00   0.000000E+00  -0.166903E+02   0.277797E-07   0.479861E-03  -0.279194E-06
   171   0.521101E+04   0.623796E+00   0.000000E+00  -0.153643E+02   0.276240E-07   0.474957E-03  -0.271999E-06
   172   0.522466E+04   0.621894E+00   0.000000E+00  -0.140098E+02   0.274697E-07   0.470118E-03  -0.264211E-06
   173   0.523757E+04   0.621011E+00   0.000000E+00  -0.126271E+02   0.273167E-07   0.465343E-03  -0.255783E-06
   174   0.524973E+04   0.621201E+00   0.000000E+00  -0.112168E+02   0.271651E-07   0.460631E-03  -0.246667E-06
   175   0.526116E+04   0.622527E+00   0.000000E+00  -0.977956E+01   0.270148E-07   0.455982E-03  -0.236817E-06
   176   0.527183E+04   0.625036E+00   0.000000E+00  -0.831585E+01   0.268658E-07   0.451394E-03  -0.226198E-06
   177   0.528174E+04   0.628793E+00   0.000000E+00  -0.682639E+01   0.267181E-07   0.446867E-03  -0.214834E-06
   178   0.529088E+04   0.633848E+00   0.000000E+00  -0.531204E+01   0.265717E-07   0.442399E-03  -0.202765E-06
   179   0.529926E+04   0.640253E+00   0.000000E+00  -0.377358E+01   0.264265E-07   0.437990E-03  -0.190029E-06
   180   0.530688E+04   0.648075E+00   0.000000E+00  -0.221195E+01   0.262827E-07   0.433638E-03  -0.176662E-06
   181   0.531372E+04   0.657370E+00   0.000000E+00  -0.628070E+00   0.261400E-07   0.429343E-03  -0.162705E-06
   182   0.531979E+04   0.668198E+00   0.000000E+00   0.977205E+00   0.259986E-07   0.425104E-03  -0.148194E-06
   183   0.532510E+04   0.680609E+00   0.000000E+00   0.260294E+01   0.258585E-07   0.420920E-03  -0.133168E-06
   184   0.532963E+04   0.694671E+00   0.000000E+00   0.424815E+01   0.257195E-07   0.416789E-03  -0.117666E-06
   185   0.533338E+04   0.710447E+00   0.000000E+00   0.591210E+01   0.255817E-07   0.412712E-03  -0.101724E-06
   186   0.533635E+04   0.727990E+00   0.000000E+00   0.759366E+01   0.254451E-07   0.408687E-03  -0.853829E-07
   187   0.533854E+04   0.747359E+00   0.000000E+00   0.929197E+01   0.253097E-07   0.404712E-03  -0.686790E-07
   188   0.533995E+04   0.768622E+00   0.000000E+00   0.110059E+02   0.251755E-07   0.400788E-03  -0.516510E-07
   189   0.534058E+04   0.791839E+00   0.000000E+00   0.127347E+02   0.250423E-07   0.396913E-03  -0.343370E-07
   190   0.534042E+04   0.817074E+00   0.000000E+00   0.144771E+02   0.249104E-07   0.393087E-03  -0.167751E-07
   191   0.533947E+04   0.844386E+00   0.000000E+00   0.162320E+02   0.247795E-07   0.389308E-03   0.996649E-09
   192   0.533773E+04   0.873840E+00   0.000000E+00   0.179987E+02   0.246497E-07   0.385575E-03   0.189400E-07
   193   0.533520E+04   0.905498E+00   0.000000E+00   0.197761E+02   0.245211E-07   0.381888E-03   0.370169E-07
   194   0.533188E+04   0.939424E+00   0.000000E+00   0.215629E+02   0.243935E-07   0.378245E-03   0.551892E-07
   195   0.532776E+04   0.975683E+00   0.000000E+00   0.233581E+02   0.242670E-07   0.374647E-03   0.734189E-07
   196   0.532286E+04   0.101434E+01   0.000000E+00   0.251605E+02   0.241415E-07   0.371090E-03   0.916678E-07
   197   0.531718E+04   0.105546E+01   0.000000E+00   0.269690E+02   0.240171E-07   0.367576E-03   0.109898E-06
   198   0.531072E+04   0.109910E+01   0.000000E+00   0.287825E+02   0.238937E-07   0.364103E-03   0.128071E-06
   199   0.530347E+04   0.114534E+01   0.000000E+00   0.305999E+02   0.237714E-07   0.360669E-03   0.146149E-06
   200   0.529545E+04   0.119423E+01   0.000000E+00   0.324198E+02   0.236500E-07   0.357274E-03   0.164094E-06
   201   0.528664E+04   0.124584E+01   0.000000E+00   0.342415E+02   0.235296E-07   0.353918E-03   0.181875E-06
   202   0.527706E+04   0.130016E+01   0.000000E+00   0.360637E+02   0.234103E-07   0.350599E-03   0.199487E-06
   203   0.526668E+04   0.135720E+01   0.000000E+00   0.378861E+02   0.232918E-07   0.347318E-03   0.216934E-06
   204   0.525553E+04   0.141695E+01   0.000000E+00   0.397076E+02   0.231744E-07   0.344074E-03   0.234217E-06
   205   0.524360E+04   0.147941E+01   0.000000E+00   0.415275E+02   0.230579E-07   0.340866E-03   0.251341E-06
   206   0.523089E+04   0.154458E+01   0.000000E+00   0.433451E+02   0.229424E-07   0.337694E-03   0.268307E-06
